site_id,source,latitude,longitude
11NPSWRD_WQX-HOFU_PADEP_16FC,Other,40.14138890000001,-75.5755556
11NPSWRD_WQX-HOFU_PSU_2,Other,40.169027799999995,-75.7278056
11NPSWRD_WQX-HOFU_PSU_3,Other,40.17138889999999,-75.6905
11NPSWRD_WQX-MIDN_VAFO_01F,Other,40.11055,-75.42833
11NPSWRD_WQX-MIDN_VAFO_02F,Other,40.11053999999999,-75.4402
11NPSWRD_WQX-MIDN_VAFO_03AF,Other,40.102700000000006,-75.46162
11NPSWRD_WQX-MIDN_VAFO_03F,Other,40.10258000000001,-75.46176
11NPSWRD_WQX-MIDN_VAFO_04F,Other,40.09288999999999,-75.45665
11NPSWRD_WQX-MIDN_VAFO_05F,Other,40.08095999999999,-75.45756
11NPSWRD_WQX-VAFO_ABI_LT,Other,40.0681111,-75.4848611
11NPSWRD_WQX-VAFO_ABI_NS,Other,40.0601389,-75.53036109999998
11NPSWRD_WQX-VAFO_ABI69_01,Other,40.05544439999999,-75.5872222
11NPSWRD_WQX-VAFO_ABI69_02,Other,40.05397219999999,-75.5818889
11NPSWRD_WQX-VAFO_ABI69_03,Other,40.0521667,-75.565
11NPSWRD_WQX-VAFO_ABI69_04,Other,40.0508333,-75.5549167
11NPSWRD_WQX-VAFO_ABI69_05,Other,40.0500278,-75.55847220000001
11NPSWRD_WQX-VAFO_ABI69_10,Other,40.06969440000001,-75.4733333
11NPSWRD_WQX-VAFO_ABI69_11,Other,40.0994444,-75.4630278
11NPSWRD_WQX-VAFO_ABI74_1,Other,40.05472220000001,-75.5847778
11NPSWRD_WQX-VAFO_ABI74_3,Other,40.0508611,-75.5568889
11NPSWRD_WQX-VAFO_ABI74_4,Other,40.0508611,-75.55491670000002
11NPSWRD_WQX-VAFO_ABI74_5,Other,40.0696389,-75.47325
11NPSWRD_WQX-VAFO_ABI74_9,Other,40.087206,-75.45641400000001
11NPSWRD_WQX-VAFO_ABI75_1,Other,40.051416700000004,-75.5505556
11NPSWRD_WQX-VAFO_ABI75_2,Other,40.0569444,-75.53247220000002
11NPSWRD_WQX-VAFO_ABI75_3,Other,40.0675,-75.5169722
11NPSWRD_WQX-VAFO_ABI76_1,Other,40.0508333,-75.5568611
11NPSWRD_WQX-VAFO_ABI76_2,Other,40.05102779999999,-75.5525833
11NPSWRD_WQX-VAFO_ABI76_3,Other,40.058916700000005,-75.53097220000001
11NPSWRD_WQX-VAFO_ABI76_4,Other,40.069750000000006,-75.4733056
11NPSWRD_WQX-VAFO_ABI76_9,Other,40.081222200000006,-75.4569444
11NPSWRD_WQX-VAFO_ABI78_1,Other,40.0508611,-75.5569444
11NPSWRD_WQX-VAFO_ABI78_2,Other,40.05108330000001,-75.5525833
11NPSWRD_WQX-VAFO_ABI78_3,Other,40.0588611,-75.5308889
11NPSWRD_WQX-VAFO_ABI78_4,Other,40.0696667,-75.4732778
11NPSWRD_WQX-VAFO_ABI78_5,Other,40.081166700000004,-75.457
11NPSWRD_WQX-VAFO_ABI85_1,Other,40.051083299999995,-75.5523333
11NPSWRD_WQX-VAFO_ABI85_2,Other,40.0588611,-75.5308889
11NPSWRD_WQX-VAFO_ABI85_3,Other,40.06480560000001,-75.51880560000001
11NPSWRD_WQX-VAFO_ABI85_5,Other,40.0674722,-75.5168889
11NPSWRD_WQX-VAFO_ABI85_6,Other,40.06572220000002,-75.4903889
11NPSWRD_WQX-VAFO_ABI94_03,Other,40.052083300000014,-75.5646667
11NPSWRD_WQX-VAFO_ABI98_1,Other,40.0508611,-75.55775
11NPSWRD_WQX-VAFO_ABI98_1A,Other,40.050888900000004,-75.5570833
11NPSWRD_WQX-VAFO_ABI98_2,Other,40.05075,-75.5556111
11NPSWRD_WQX-VAFO_ABI98_2A,Other,40.050916699999995,-75.5564167
11NPSWRD_WQX-VAFO_CCHD_431,Other,40.058569,-75.531181
11NPSWRD_WQX-VAFO_CCHD_434,Other,40.070138899999996,-75.4723056
11NPSWRD_WQX-VAFO_CCHD_437,Other,40.099753,-75.462838
11NPSWRD_WQX-VAFO_CHS_CREEK,Other,39.92866669999999,-75.5291944
11NPSWRD_WQX-VAFO_CHS_CRUM,Other,39.99363889999999,-75.4486389
11NPSWRD_WQX-VAFO_CHS_DUTT,Other,39.98061110000001,-75.5113056
11NPSWRD_WQX-VAFO_CHS_GARRE,Other,39.967638900000004,-75.4894444
11NPSWRD_WQX-VAFO_CHS_GARRW,Other,39.9724722,-75.4964722
11NPSWRD_WQX-VAFO_CHS_KIM,Other,40.1413889,-75.56941670000002
11NPSWRD_WQX-VAFO_CHS_RD1,Other,39.971555599999995,-75.4905556
11NPSWRD_WQX-VAFO_CHS_RD2,Other,39.9825556,-75.5195556
11NPSWRD_WQX-VAFO_CHS_VC1,Other,40.1005278,-75.4630556
11NPSWRD_WQX-VAFO_CHS_VC2,Other,40.0695833,-75.4710278
11NPSWRD_WQX-VAFO_CHS_VC3,Other,40.0651111,-75.5185278
11NPSWRD_WQX-VAFO_CHS_WAY,Other,39.9934722,-75.4538611
11NPSWRD_WQX-VAFO_DEP_98_01,Other,40.0508056,-75.5554722
11NPSWRD_WQX-VAFO_DEP_98_02,Other,40.0508056,-75.5554722
11NPSWRD_WQX-VAFO_DEP_98_03,Other,40.05680559999998,-75.53322220000001
11NPSWRD_WQX-VAFO_DEP_98_04,Other,40.0571389,-75.5321944
11NPSWRD_WQX-VAFO_DEP_98_06,Other,40.0575833,-75.5318889
11NPSWRD_WQX-VAFO_DEP_98_08,Other,40.0576944,-75.5317778
11NPSWRD_WQX-VAFO_DEP_98_26,Other,40.0650833,-75.5185556
11NPSWRD_WQX-VAFO_DEP_98_27,Other,40.0575833,-75.5318889
11NPSWRD_WQX-VAFO_DEP_98_29,Other,40.06025000000001,-75.5290556
11NPSWRD_WQX-VAFO_DEP_98_30,Other,40.05777779999999,-75.5317222
11NPSWRD_WQX-VAFO_DEP98/9_05,Other,40.05741669999998,-75.53191670000001
11NPSWRD_WQX-VAFO_DEP98/9_07,Other,40.0576389,-75.5317778
11NPSWRD_WQX-VAFO_DEP98/9_09,Other,40.058361100000006,-75.53130560000001
11NPSWRD_WQX-VAFO_DEP98/9_10,Other,40.05844439999999,-75.5311944
11NPSWRD_WQX-VAFO_DEP98/9_18,Other,40.0586944,-75.5310556
11NPSWRD_WQX-VAFO_DEP98/9_19,Other,40.058722200000005,-75.5311111
11NPSWRD_WQX-VAFO_DEP98/9_20,Other,40.0589444,-75.5308889
11NPSWRD_WQX-VAFO_DEP98/9_21,Other,40.059472199999995,-75.5305
