seg_id_nat,year,month,n,ANN,RGCN,RGCN_ptrn,RNN,range
2014,2005,8,31,1.096706084,0.843525343,1.086580914,1.419325785,3
2014,2006,8,31,0.78412895,0.409489219,0.50734955,0.864654462,3.8
2014,2007,6,30,1.16232469,0.510703104,0.492251708,1.27011264,3.8
2014,2007,8,31,1.486063469,1.055786112,1.331616892,1.588152319,3.8
2014,2008,6,30,1.28566699,0.650668757,0.832386946,0.992866199,3.8
2014,2008,7,31,0.851485212,0.503839371,0.674422893,1.091686365,3.8
2014,2008,8,31,0.970082513,0.615520274,0.887144673,0.973845128,3.7
2014,2009,6,30,1.724503055,1.102391572,1.25925173,1.367583436,3.7
2014,2009,7,31,1.194841937,0.794452157,0.998119829,1.216272745,3.7
2014,2009,8,31,0.747066796,0.416455003,0.642429973,1.285064023,3.7
2014,2010,6,29,1.524478417,0.794470914,0.945986736,1.335238675,3.7
2014,2010,8,31,0.909318882,0.524681358,0.676046363,1.019238356,3.5
2014,2011,7,31,1.103497763,0.61222102,0.869127811,1.159003933,3.5
2014,2011,8,29,0.725105516,0.792868344,0.540520661,0.971670897,3.5
2014,2012,6,30,1.102665377,0.703456812,0.750845486,1.236823576,3.5
2014,2012,7,29,0.823290274,0.608698498,0.79871813,1.146659635,3.5
2014,2012,8,29,0.573577101,0.334993529,0.510204846,0.717794882,3.5
2014,2013,6,30,1.21547502,0.622367863,0.742486945,1.108732596,3.5
2014,2013,7,31,1.185889606,0.926597702,1.257027678,1.446456812,3.5
2014,2013,8,30,1.347505957,0.894443237,1.094188254,1.25532576,3.5
2014,2014,6,30,1.039474597,0.45307098,0.492459887,0.930352083,3.5
2014,2014,7,31,0.9917868,0.49674046,0.673074119,1.206082449,3.5
2014,2014,8,31,1.220136093,0.804223647,1.037574881,1.266934672,3.5
2014,2015,6,29,1.159482286,0.535851689,0.624377084,1.412671428,3.5
2014,2015,7,31,1.022401444,0.565507093,0.72803517,1.395045313,3.5
2014,2015,8,31,0.897687774,0.400715496,0.621160046,1.103508571,3.5
2014,2016,6,30,1.327066895,0.562745768,0.692295937,0.952916605,3.5
2014,2016,7,31,0.920775398,0.598516578,0.868058276,1.148033611,3.5
2014,2016,8,31,0.658222881,0.455138295,0.587898587,0.799151975,3.5
2037,2005,6,30,0.682735776,0.500765938,0.699272618,0.757453262,3.5
2037,2005,8,31,0.857472934,0.708873401,1.2348546,1.297098436,3.5
2037,2006,7,31,0.584165698,0.680706273,0.813468205,1.641818506,3.5
2037,2006,8,31,0.737824276,0.401139929,0.948223014,1.106644787,3.5
