id,seg_id_nat,year,month,n,experiment,ANN,RGCN,RGCN_ptrn,RNN
a245,2033,2008,7,1,d100,3.12487114,2.077422028,1.164547806,0.844839935
a246,2034,2008,7,1,d100,1.337119141,2.261523285,0.661814728,0.757962265
a247,2036,2008,7,1,d100,1.565725327,1.668394089,0.706066132,1.544975281
a248,2037,2008,7,31,d100,0.832518892,0.631790031,0.709658678,0.975665363
a249,2044,2008,7,1,d100,1.364726181,1.766068573,1.530369873,2.719945068
a250,2046,2008,7,31,d100,2.682327835,2.097466699,1.388384577,1.590917445
a251,2007,2008,8,31,d100,2.600952656,2.940339127,2.590285534,2.502719208
a252,2012,2008,8,31,d100,0.821146676,0.709583933,0.858133145,1.303279412
a253,2013,2008,8,31,d100,0.823416984,0.483683324,0.363632913,0.478343697
a254,2014,2008,8,31,d100,0.970082513,0.615520274,0.887144673,0.973845128
a255,2019,2008,8,1,d100,1.400903702,1.343708038,1.429174423,1.996101379
a256,2020,2008,8,1,d100,2.845411224,2.129217072,1.994501038,2.44035141
a257,2021,2008,8,1,d100,1.87173027,1.811553421,0.692254486,1.98201889
a258,2023,2008,8,1,d100,2.390840225,2.767907791,1.449702911,1.178821259
a259,2027,2008,8,1,d100,0.597577438,0.45450531,2.32872139,2.058173523
a260,2030,2008,8,1,d100,0.804382095,0.175138245,0.171571503,0.323796997
a261,2031,2008,8,1,d100,1.388696594,0.743120117,1.29997818,0.067960815
a262,2033,2008,8,1,d100,3.251534348,1.788063889,1.354349976,0.82581604
a263,2034,2008,8,1,d100,1.45595047,2.092264862,0.526747437,0.337776871
a264,2036,2008,8,1,d100,2.097937469,2.151734238,1.256749039,2.495980148
a265,2037,2008,8,31,d100,0.619263115,0.349095046,0.744558858,0.85062047
a266,2044,2008,8,1,d100,1.91557991,1.674491043,1.426926727,2.576665039
a267,2046,2008,8,31,d100,2.049723804,1.223120995,1.008016182,1.425755925
a268,2007,2009,6,27,d100,1.007485294,1.552949744,1.111491419,1.272225045
a269,2012,2009,6,30,d100,1.741795884,1.341328257,1.023895151,1.903465304
a270,2013,2009,6,30,d100,0.665528834,0.385725147,0.293663989,0.451093088
a271,2014,2009,6,30,d100,1.724503055,1.102391572,1.25925173,1.367583436
a272,2020,2009,6,1,d100,4.04047554,1.642722778,1.744411163,2.981246643
a273,2023,2009,6,1,d100,4.034840927,2.539437637,1.566453323,2.72013031
a274,2027,2009,6,1,d100,0.565161743,2.043316803,2.807682953,0.748818359
a275,2030,2009,6,1,d100,2.001901169,0.289314728,0.862247925,0.401946564
a276,2031,2009,6,1,d100,2.577228165,0.364168549,0.169372177,0.242230988
a277,2033,2009,6,1,d100,3.60730629,0.923767853,0.739826965,1.400597382
a278,2034,2009,6,1,d100,3.540367355,1.749569168,0.702406158,2.13900589
a279,2036,2009,6,1,d100,2.558851547,1.868545837,0.834339447,1.35307724
a280,2037,2009,6,28,d100,0.631803883,0.47248424,0.709906787,0.969336507
a281,2044,2009,6,1,d100,2.078761215,1.130486603,1.032837982,2.742877121
a282,2046,2009,6,30,d100,0.919717666,0.908708685,1.406623407,1.318451231
a283,2007,2009,7,31,d100,2.1429744,2.521940239,2.748322512,2.387733385
a284,2012,2009,7,31,d100,1.237693048,1.018335683,0.914093047,1.706528659
a285,2013,2009,7,31,d100,0.793619235,0.408789266,0.659232507,0.455036699
a286,2014,2009,7,31,d100,1.194841937,0.794452157,0.998119829,1.216272745
a287,2019,2009,7,1,d100,1.204450607,1.4564991,0.54451561,1.65067482
a288,2020,2009,7,1,d100,3.708243866,2.795089264,2.21609642,3.515018005
a289,2021,2009,7,1,d100,1.12376976,1.10168457,0.265695572,0.755254745
a290,2023,2009,7,1,d100,3.062894135,3.098136215,1.87765625,2.288552551
a291,2027,2009,7,1,d100,0.330498352,0.535814896,2.003288879,0.991573944
a292,2030,2009,7,1,d100,1.768940964,1.011391678,0.024147949,1.605437317
a293,2031,2009,7,1,d100,1.724009171,0.468464508,0.709770813,0.052558289
a294,2033,2009,7,1,d100,3.257258911,1.746718903,1.443704147,1.328475494
a295,2034,2009,7,1,d100,2.195063553,2.272469482,0.912583313,1.500588379
a296,2036,2009,7,1,d100,1.571303024,1.762535706,1.179505005,1.734100952
a297,2037,2009,7,31,d100,0.707402317,0.471076259,0.779550993,0.890896206
a298,2044,2009,7,1,d100,1.0584478,0.454316101,0.799271545,0.134444275
a299,2046,2009,7,31,d100,1.906524753,1.213480475,1.525221343,1.958750319
a300,2007,2009,8,31,d100,2.008976055,1.632036725,1.592468191,2.589730956
a301,2012,2009,8,31,d100,1.01109947,0.893300029,0.858239401,1.724511054
a302,2013,2009,8,31,d100,1.118243859,0.794767871,0.397868592,0.770544907
a303,2014,2009,8,31,d100,0.747066796,0.416455003,0.642429973,1.285064023
a304,2019,2009,8,1,d100,0.75006485,0.800769806,0.043621063,0.064020157
a305,2020,2009,8,1,d100,3.265823288,3.204675598,3.694646759,3.70093338
a306,2021,2009,8,1,d100,0.305583572,0.096315765,0.373423004,0.328870392
